airline_sentiment,text
negative,@USAirways why won't you help me get my luggage back? I'm a teen trying to change the world in DC #Flight5182 #usairways
negative,".@JetBlue Ah grasshopper, your twitterz kung fu no good.  Hire geeks. http://t.co/8MWItRi9kF"
negative,@AmericanAir that is absolutely false stmt.  You have a comedy of errors incl no catering etc #GetYourActTogether
negative,@united flight attendant doesn’t understand not understanding English doesn’t mean they are deaf. Stop yelling English slowly to them.
neutral,Oh wow. #sm “@JetBlue: Our fleet's on fleek. http://t.co/l0i8fnz3KU”
positive,@united @jsumiyasu I am thankful to the  United ground staff who put me in the last seat on the last flight out. Home Late Flight is still home!
negative,@united okay ase24766m. Find our luggage.
negative,@USAirways  sitting on Tarmac in #PIT for 30 min. No announcement. Just sitting.
negative,"@AmericanAir Flight Cancelled Flightled, website refers to 1-800#, the 1-800# hangs up on me. Not auto-rebooked. Really? Horrible company."
neutral,@AmericanAir did that yesterday. On the phone with them now
negative,.@AmericanAir can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.
negative,@united I do I was on UA 495 LAX TO DEN - we are scheduled to land LAX @ 7:38 am - please rebook to Denver - best flight
positive,@AmericanAir Hey Becky Piela at the Orange County airport has been really kind and helpful with rescheduling our flight!
positive,@JetBlue I would go to Las Vegas. It is gorgeous and I go there every year and I fly with you guys Vegas is gorgeous &amp; so much to do there.🌴
negative,"@AmericanAir I had to pay extra $$ cos that flight was ""no longer available"" just because it wouldn't accept my US Card for a 1 way into NYC"
negative,@SouthwestAir My bag was not shown LUV did not make it to PHL with me.
neutral,@AmericanAir Can you upgrade (with cash) to Main Cabin Extra after buying an AAdvantage Mileage Saver (using miles)? Can't seem to do it...
positive,"@SouthwestAir Thanks for replying, I sen't my conf #! I love aviation and Southwest and all I wanted for my 18th was to fly SWA for the day!"
neutral,@USAirways if I have Dividend Miles credit card &amp; I used it to book my flight is one bag free?
negative,"@SouthwestAir I can. Doesn't it seem fair that if our bags need to fit under our seats, we should need to fit in them?"
negative,@USAirways three hours on hold then disconnected. Conf EBHSET. Need to be home Sunday for interview
negative,@JetBlue get me home! Flight 2016 from buf to Bos is missing a captain!? Really!?
negative,@USAirways you used to have an evening flight DCA-DSM and an early AM return. Now it's middle of the work day for both. Inconvenient.
negative,"@SouthwestAir no, thanks. I think we have it straight!"
negative,"@united Club DEN, East or West, both are disgusting. http://t.co/XijYrPsLZK"
positive,@JetBlue glad you like it. Feel free to steal it.
positive,@united thank you!
negative,@USAirways so you strand my bag in Philly last Sat and strand me in Philly this Sat. thanks for the bullshit.
neutral,@USAirways &amp; @AmericanAir: 1 flight Cancelled Flightled yesterday and now a delay today has robbed my daughter of 2 days with her grandparents. Thanks
negative,"@AmericanAir submitted a case to AA customer relations two weeks ago, no word ever since! whats the point of even having CR?"
positive,"@AmericanAir Thank you, you too!"
negative,@united not once did #US3645 leave #ORD on time this week #shameful
positive,@SouthwestAir it's ok! Southwest is still the best airline around! Just hate when baggage room runs out.. My now checked bag has headphones!
negative,@JetBlue we were on b6 619 this morning from Boston to beautiful San Diego. We really were bummed the satellite was broken. :(
neutral,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
negative,@JetBlue it's ok. Things happen. Just very frustrated when you have to change your schedule. See you tomorrow for a new rescheduled flight.
negative,@USAirways if you are going to make me wait in the phone for a long time can you at least turn off the ads they are eating away at my soul
negative,@united just dropped bags at Newark. Your desk guy was the rudest customer facing person I have met. Even my two children were shocked!
negative,"@JetBlue FYI - your android app is set to not be applicable with the Nexus 6 - please fix (its a phone, not a tablet). Cheers!"
neutral,@USAirways No worries I was able to read @stephenrodrick entire book while holding. #TheMagicalStranger
negative,@JetBlue didn't find them unfortunately :( but he was very helpful and took down my info incase they do get found
negative,"@USAirways I asked if that was SOP, and they said “It is now.” But yet the other 11 flights, nothing. Is this a policy or not?"
negative,"@USAirways Thanks for showing interest...3880 to Greenville, SC."
neutral,@united @baftz rcvd promo if i booked flight silver status would be extended it was not dont have flier that was sent didnt think id need
negative,"@SouthwestAir On hold over 2 hrs and got cutoff !Cancelled Flightled my flight, now can't get to booked cruise in Florida! Terrible customer service!"
positive,"@United Bringing your ""A"" game with premium cabin dining. Nice! https://t.co/zgOQoxjBQY"
positive,"@AmericanAir gotta love those skycaps, solving problems faster than anyone else in the terminal. And they did it with a smile on their face"
positive,@JetBlue thanks to you customers like me stay loyal. From check in to landing.
negative,@USAirways Still on hold. 1 hour and 45 minutes and counting. Platinum? Who cares? Problems checking in? Who cares?
neutral,"@JetBlue Port-Au-Prince, Haiti for continued food distribution, medical supplies, &amp; orphan care!  #flyingitforward http://t.co/fn2QXybT9K"
positive,@SouthwestAir Received awesome phone help from Jim today. Helped me switch around flights booked with points.
negative,@SouthwestAir now I'm so lucky for my forced good deed I get to be smashed between 2 huge ppl in the exit row. Thank God I'm tiny. 😂💁
negative,@JetBlue absolutely no worries. I'm just never flying with you again. Ever. Even I have to hitch hike cross country #passengersarepeople
negative,"@JetBlue - I did, but since I was stranded in SYR without a ride I missed the window of opportunity to have rights in this matter. (4 hours)"
neutral,@SouthwestAir lemme come to #DestinationDragons 😭😭😭 this university student could use a break from all these books.
negative,"@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn"
negative,"@united wasn't trying to Cancelled Flight, just trying to change my award ticket, same date and place, but thanks for sending the link, I know the fee"
negative,"@united why am I to believe they will help when customer service couldn't? Like I said, I want a number to someone who can fix what you did."
negative,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
neutral,@JetBlue Now ur asking for the heavy guns! You know #IWouldDoAnythingForLove https://t.co/Yx1DQJn8nL #BrandMance #LoveSongFriday
negative,@JetBlue not to mention the fact that we paid extra just to fly jetblue thinking it was the most reliable..
negative,"@USAirways Disgusted with your poor customer service. U wrongfully remove &gt; 65,000 miles from my Dividend Miles and no live person,"
neutral,"@SouthwestAir got an email confirmation of wifi purchase on a recent flight. Trouble is, I've never flown with you. Ever. #concerned #scam?"
negative,@USAirways doesn't want me to get home
neutral,@USAirways is this accurate? Safety guide shown no MP3 player usage during takeoff and landing. http://t.co/Nvk3IrG4KP
positive,@united Life goal: complete ✔️
negative,@USAirways I NEED TO *SPEAK* TO SOMEBODY ABOUT A RESERVATION. As in talk to a human being. Yet your computer system puts the phone down on
negative,@USAirways - 53 minutes on hold for a reservation?
negative,"@united your b737-800w  literally the smallest seats I have ever have, my dad got stuck In the tiny bathroom ad well #disspointed #premier1k"
negative,Why? 😒 RT @JetBlue Our fleet's on fleek. http://t.co/I7Ut2ZvHCO
neutral,@SouthwestAir  I am following you now.
neutral,@USAirways US airways csr at Phoenix airport fixed the problem
negative,@AmericanAir our flight was Cancelled Flightled and rebooked to United. You didn't give them accurate ticket number now we can't check in. #annoyed
neutral,"@united @jeffsmisek @RobertFor39 @Fioretti2ndWard @garcia4chicago  
FAA invest near miss on O'Hare runway last wk:http://t.co/jVJ73ZZa4A"
positive,@JetBlue Hawaii! Get me somewhere warm &amp; I can find some good to do. #FlyItForward
negative,@united you asked me to DM then ignore them. Please assist in changing to another flight today- 21 Feb fra to mco avoiding IAD.
negative,@usairways missed flight connection due to flight attendant delay. Yet no voucher on your part? #fail
negative,"@USAirways I believe you. But in all seriousness, what's an acceptable time I should have this expense on my name that wasn't my fault...."
negative,@USAirways there has been NO one at the Yuma ticket counter for 30 minutes and there are about 30 people in line. Terrible service!!!
neutral,@JetBlue Has D.C. Thinking About Summer With New Nantucket Service - Digital Journal http://t.co/urcyfcp2Lx
neutral,@united yes please. Going to drive the 6 hours.
negative,"@USAirways ...2 hours on the plane, they at least got us on a direct flight a couple hours Late Flightr on United"
positive,@SouthwestAir Had a great trip this past week to Vegas for work; and had this pic over the Southwest on Southwest! http://t.co/a3YCFlaLxV
negative,"@USAirways call dropped &amp; no call back...another 45min-hour for another rep. The worst CS ever, online, by phone &amp; in person."
negative,@AmericanAir You Cancelled Flight my flight and there’s no way to rebook on the website or app? I have to wait 35 minutes on hold? #fail cc @Delta
negative,@AmericanAir the service received by both of us was rude and well below my expectations of your airline. That is what's most frustrating
negative,@SouthwestAir I need updates on my flights 464 &amp; 3574. I have been on hold for over 2 hours.
negative,@JetBlue I don't think I'll be testing those waters out on my own dime again.
negative,@AmericanAir But you called me - and hung up.
negative,@SouthwestAir Very frustrated for the loooooong wait time to speak to a live person!!! Cannot get boarding pass for flight tomorrow!!
positive,"@JetBlue if I had my tux, it'd be a date! #UMosaicMeCrazy http://t.co/hap4gboSTU"
negative,". @united 5 hours, 3 gates, and 3 planes Late Flightr still not an update, explanation, or apology to be had. #WorstAirlineEver #UnitedAirlines"
positive,"Thanks! Hope I don't look like a complainer, I've written of good experiences w/you in the past and am making do in terminal 5 :) @JetBlue"
positive,@AmericanAir Thanks! He is.
negative,@USAirways Hi. I'm in LGA but my luggage is in CLT. Have been told to come back tomorrow to collect. Do you guys want to cover my taxi fare?
neutral,@AmericanAir hi when will your next set of flights be out for next year from Dublin???
negative,@AmericanAir No. It does. You could not be more wrong. http://t.co/66NXZhBbMT
negative,@united Stop pretending you care about the welfare of my daughter. United Airlines had the opportunity to help n failed # United airlines
positive,@JetBlue Thank you so much!  I wasn't sure since in know the limit is 4 ozs. Excited to fly with JetBlue!
positive,@united Please send me the link/email to formally compliment Irene in SLC on some of the best customer service ever. #PaxEx
negative,"@USAirways so i ask for ice and the attendant snaps ""i dont have ice on this cart"" not 5 min Late Flightr 2 cups of ice to the people 2 rows ahead."
negative,@USAirways now the plane is 100 degrees and we are burning up. This is completely illegal.
negative,@AmericanAir I'm here standing at baggage claim waiting for bags FOR OVER AN HOUR at DFW. The gate is 100 feet from here! #nothappy
positive,@VirginAmerica ​ is flying from Love to Austin now. That is most excellent news.
negative,@united yes to three different checkers along the walk to the plane. Overkill
positive,@JetBlue incredible PR team. 👏👏👏👏
negative,@JetBlue why was Flight 1856 delayed to Buffalo ?  It’s a direct flight and the plane is at the gate.
negative,"@JetBlue shout out to the crew on flight 89 headed back to the big apple, they kept my glass half full the whole flight! #jetbluejfk"
neutral,@JetBlue don't know if u define that as a #ControllableIrregularity
neutral,"@united Was on NH10 on United ticket, rerouted to IAD due to weather in JFK. Can you get us home on United 5713 or 3277?"
negative,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
negative,@united please tell CLT flight 4232 needs a gate. Waiting now for 15 mins.
positive,@JetBlue Learning about your awesome twitter management today in my Social Media Marketing class! keep up the good work! @SXU @PhD_Mama_
neutral,@SouthwestAir will do! #heart #flying
negative,@AmericanAir what is going on with the flight 2417? It has been delay a lot .
positive,"THANKS to @SouthwestAir , I get to go to the #DestinationDragons @Imaginedragons show this weekend in UTAH @VelourLive  !!! #ThankYou"
neutral,@united or frontier ... http://t.co/n8WiNFu6C5
negative,@SouthwestAir was wondering is there a reason why customer service is so busy? Been on hold past few days for many hours No answer Help plz
negative,"@united, maybe don't play the video about how your flights are outfitted w wifi on the flights where wifi isn't working...✈️"
positive,@USAirways made it! Just! Huge relief - thanks for your help!
neutral,@USAirways download jeokoo the American app for air travelers
negative,@USAirways  nothing was available. Male flight crew was not nice/dismissive. Big guy was standby and probably didn't even pay.
negative,@AmericanAir we got to 15 minutes AFTER takeoff time before anyone wandered over to address the line of people.
negative,@USAirways that is actually not true! You can get a seat online after a big hassle. That policy is totally dishonest and misleading. #FAA
negative,@JetBlue actually they said the fraud issue was never resolved. but why then did they issue me a new ticket of the phone?
neutral,"@SouthwestAir haha...yeah i did, just making a joke"
positive,@SouthwestAir I've DM'd you. Thanks!
neutral,@JetBlue flight 1183 to Orlando.
negative,@USAirways Seriously doubt that as I am still sitting inside at the gate.
neutral,@JetBlue I have more flights that I'd love to redeem for some points but they're a little over a year old. Is there a historical limit?
neutral,@SouthwestAir is it possible to book a refundable trip? Willing to pay extra. This would be for a domestic round trip flight
negative,@USAirways has the most ass backwards process for using credits on flights. even trying to get a hold of customer relations is impossible
negative,@united Why does it take 4-6 weeks for a new MileagePlus Premier card to be sent out? #stillwaiting #doesntfeellikestatusyet
neutral,@SouthwestAir I have a few questions about flying with my Maltese puppy. Can you DM me?
positive,"@JetBlue I did not! She's a woman who's a lead, she was working at gate c26."
positive,"@united Thanks so much , my passport was recovered"
negative,@JetBlue you #fail. Snow coming to DC area. Tried to get on earlier flight. You refused. Now flight 6.5 hours delayed. Greedy and foolish.
neutral,@USAirways US 728 stated their issues as: kept plane on ground to allow connecting passengers from other flight to board. Fine. Understand.
neutral,@JetBlue Statement on #Lufthansa Incentive Offer - Digital Journal http://t.co/GqP69g9ZGW
positive,@JetBlue thank you!!
positive,@VirginAmerica @SSal thanks!
negative,"@united Flight attendant never served me my beverage (tea), and not once checked up on me. What gives? #ua6076 #notcool"
negative,"@djevolutionhd As an EP who travels 125K+ miles a yr with @AmericanAir , I would expect more from them than this horrible travel experience"
neutral,@SouthwestAir @TheAcademy party in #hotlanta http://t.co/x5ZQssJtRB
negative,@AmericanAir our flight AA 1338 is delayed out of Providenciales and will be missing our connection AA 1651 in Miami to SEA. Who do we call?
negative,"@AmericanAir &amp; if that wasn't enough, your staff have been so rude &amp; ignored passengers,don't think that should be accepted whatever reason"
neutral,"@USAirways landed at Phoenix, but we had to board a flight quickly to Vegas so no time at the airport. What now?"
positive,@united I should be fine. They automatically changed my connecting flight for me so I wouldn't miss it. A+ work.
neutral,Oh yeah? RT @JetBlue: Our fleet's on fleek. http://t.co/FTv2NWWQF1”
negative,@united not able to DM you my confirmation number
negative,"@USAirways after a grt flight to PHX last week,  tonight was terrible. 2.5 hours taxing and you give us water and crackers to compensate."
negative,"@USAirways take a look at 1715. All F seats filled, so someone upgraded their friend instead of following rules."
positive,.@VirginAmerica They were very understanding and helped me out.  Thx! #Comps
negative,"@AmericanAir 4hrs Late Flightr i get a call back, and immediately disconnected"
neutral,@SouthwestAir is hiring for their Emerging Leader Development Program- Last day to apply is TODAY! Apply here: http://t.co/jLHM0x7UkB
neutral,"@AmericanAir Hi guys, can you tell me what the emergency is for #AA65 diverting to #Heathrow from Zurich-New York? Thanks, John."
positive,@VirginAmerica great. Well deserved.
negative,@united wi-fi on 737-800 (aircraft 3511) didn't work entire ORD-DCA flight this morning
negative,@USAirways your chairmans phone is down. what other number can i use?
negative,@AmericanAir it's not only my bag...it's the complete lack of respect when I called. I was hung up on. And it is my daughters bag
negative,@united I have been given a connection with 2 overnight layovers. No vouchers. Last connection not even confirmed.
negative,@united also forgot add our bag is probably going to just sit in New Jersey because of a missed connection.
negative,"@JetBlue we've been delayed for almost 2 hrs. I take JetBlue because I've had good luck, but today is really frustrating."
neutral,"@USAirways @AmericanAir taking off now. if I don't have a private jet to bora bora by the time I land, I'm calling Oprah"
negative,@SouthwestAir its flight #218 of that matters to you all. Hell next we all won't get our luggage properly transferred #facepalm #smh
negative,@SouthwestAir been on hold for &gt;30 minutes about my Cancelled Flightled flight. Still not talked to anyone and flight is soon. What gives?
negative,@SouthwestAir No like I said I could not reach anyone at your company so I had to rent a car and chalk the whole thing up to a loss
negative,@united cleaning a regional jet takes an hour?
negative,@USAirways Hold time to book award travel from Gold status: 4 HOURS and counting!!!! + 4 days of calling #usairwaysfail @AmericanAir
negative,@USAirways well this is about as worthless as your regular service.  A bunch of do nothings and idiots. #sucks
neutral,@united done
negative,@USAirways why load us on the flight if the captain was over the hours he could fly in one consecutive period? Unacceptable.
positive,@AmericanAir Great - thank you.
negative,"@united tried to and got through the whole 2,000 characters and I was not even done."
positive,@AmericanAir You guys did an amazing job today! Know it’s hard; thanks to Kate Appleton for all her hard work reFlight Booking Problems my friends and me!
neutral,@SouthwestAir sent
positive,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
negative,@AmericanAir flight 3056 still sitting at DFW waiting for baggage to be loaded
negative,@SouthwestAir why did you book my hotel twice?!?! Ahhhhh
negative,@JetBlue I guess you weren't able to do anything to improve the time.. and now it looks even Late Flightr.. going to be a #zombie tomorrow
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/cRFrwpc1Sx”😂😂😂
neutral,@SouthwestAir how long does it take for my Rapid Rewards points to be credited to my account?
negative,"@SouthwestAir Yes, but I like need my luggage before tomorrow morning"
neutral,@USAirways Done
negative,"@united Waiting half an hour for my checked bag at EWR (&amp; that was Priority); disappointing, usually you guys are good."
negative,@USAirways I will never fly @USAirways again
negative,@USAirways nervous for flight tomrw out of key west not friendly customer service
negative,"@SouthwestAir ""...you in the 10 hrs we were hanging out there? Oh, no I understand things get crazy n sometimes 10 hours isn't long enough."""
positive,@AmericanAir no kidding! Gonna take some beating on the apron... And there are some good lookin' planes out there!
negative,@united worst flight experience I've ever had. Will never ever fly your airline again.
negative,@SouthwestAir been on hold for 20 mins to Cancelled Flight my reservation. Can you assist?
negative,@united was told by Supervisor that United disconnected their customer support # so there was nobody to address it now. #igiveup
negative,"@USAirways Appreciate the calls when flight's delayed, but the recorded msg is tedious &amp; just goes on &amp; on. I vote for texts if practical :)"
positive,"@SouthwestAir it's not fun having a delay from Nashville to Las Vegas, but the crew at the gate C9 desk has been AWESOME! #patience #luvswa"
positive,@JetBlue mission accomplished: gave @paulgordonbrown  a hug http://t.co/LT1pYKfvRq
neutral,@USAirways But good luck getting there! Not cool.
negative,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
negative,@AmericanAir my flight to San Angelo via Dallas from Orlando Cancelled Flighted help! On hold and disconnect
negative,@united this is the second time my flights been Cancelled Flightled... Like really?
neutral,@USAirways @VincesViews  there are significant number of folks on 686 connecting to 599 a few minutes hold would make many happy
negative,@SouthwestAir still haven't left @BWI. Maybe by the time I'm suppose to fly back to Austin on Tuesday we'll have moved.
negative,@JetBlue is I can't make changes on the website am I still charged 25 dollars for using phone
neutral,😳 LOLOLOLOLOL “@JetBlue: Our fleet's on fleek. http://t.co/YXSwFq9tGP”
positive,@JetBlue I did see that! Working on picking up a trip or two as we type.
negative,"@JetBlue yes of course, before I left the airport. I kept looking but claim is still open."
neutral,😂😂😂 “@JetBlue: Our fleet's on fleek. http://t.co/BBaONx9txD”
negative,"@united nice your app says US 4972 delayed by weather.  Pilot says waiting on fuel.  One in ur control, one not"
negative,"@SouthwestAir worst air line ever, you have no compassion of the handicapped"
negative,@united. ..I received on other flights. #united  truly breaks guitars. #unitedbreaksguitars #wantmymoneyback
negative,@united look at the Twitter history - as usual service non existent
negative,@USAirways what happens if it isn't located
negative,@SouthwestAir On hold for 45 minutes trying to rebook a Cancelled Flightled flight with a companion ticket. Help?
negative,@USAirways been on hold way to long!  Is this the best level of service you can provide? - one hour+ is too long!
neutral,@JetBlue no. come on.
negative,@USAirways testing my patience this evening (or shall I say morning?). We waited an hour at the gate for you to find a gate agent.  130am
negative,@AmericanAir 250 I'm not sure if I'm rebooked now. In a line at airport trying to work it out. The earlier I can get to SFO the better:(
neutral,@AmericanAir @superyan I did hear a last call for boarding of this flight when I was at JFK a few hours ago. good luck w/flights!
negative,"@SouthwestAir cool the plane you said is ours that just left the terminal for a diff city? She a cold betch for ""flying the friendly skies"""
positive,@SouthwestAir Thanks for sending my kid to the #DestinationDragons concert Vegas @Imaginedragons So awesome! http://t.co/G9b6e0a2sZ
positive,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER
negative,"@JetBlue It is physically impossible to make it to the airport, and our flight is scheduled to leave in less than 3 hours."
negative,"@AmericanAir The Wichita Falls Airport is the worst, will never fly in or out again.  Unknowledgeable staff."
negative,@SouthwestAir please send me a number to call to talk to a person and not be put on hold
negative,@united hello I am flying first class and am behind 20 people on zone 1!!!!!  Pls pass on to app dept - you should board 1st class first
negative,@SouthwestAir will you please start offering services out of @triflight and @AshevilleAir to other airports.. Have to drive 3-4 hrs to use u
positive,@USAirways thank you!
positive,@united your agents (and service) on my weekend trip have been AMAZING!!! Thank you!!
neutral,@AmericanAir I might look into that. My wife travels much more than I do. Could we both use the membership?
neutral,@united your announcement for pre boarding only addresses mobility. My disability requires me to travel with a lot of stuff. Do I preboard?
negative,"@AmericanAir I fly American because of family but severe weather excuse so I can't call to make change, why have a computer if u cant modify"
neutral,@AmericanAir online flight notification is down.
positive,"@united thank you so much, that helps a ton. Whoever is on this Twitter acct today deserves a handshake and a hot chocoLate Flight. #problemsolvers"
neutral,"@SouthwestAir okay thank you :), also I did get a tweet earlier about 1.5 hrs ago saying I won &amp; should send a DM but then it was deleted?"
negative,@United yall tried it with this little bitty plane flying out of boston!! I hate little planes!!!
neutral,@AmericanAir Can I use an SWU on an Finnair codeshare of an American operated flight (JFK-MAN)?  Thanks in advance for the help!
positive,@JetBlue @Cayman_Islands  I know that bar :)  Wish I was there now!
negative,@USAirways This flight was for my brother. He has been rebooked and I was able to give my info over the phone to get him a pass to the Club.
negative,"@USAirways rant cont... To top it all off, rescheduled flight to TPA at 10:10 is already delayed. How can they be that bad?"
positive,"@SouthwestAir 

Just realized I had the wrong departure date. Thanks for making changes easy!"
negative,@SouthwestAir when will airfare be available through December of this year? I have 2 major trips coming up and I'm anxious to book them!
neutral,@USAirways good ideas...she is traveling today...at airport.  Need to petition faa regarding silly 24 name change rule.
neutral,@JetBlue Guess I'll wait another 24 hrs in hopes rate goes down &amp; is more reasonable. Fingers crossed. Cutting it close to my travel dates.
neutral,@united okay. Thanks.
positive,@SouthwestAir Awesome staff at the  check in desk! They had a paper airplane race for a SW gift card to keep ppl entertained during delays
negative,@JetBlue and the 20min line I stood in to drop my bag off?
positive,@AmericanAir I might look into that. My wife travels much more than I do. Could we both use the membership?
positive,@AmericanAir Flight attendant #YeseniaHernandez provided excellent service among peculiar conditions throughout the day ✈ :-)
neutral,@JetBlue lmfao.
negative,"@USAirways Good info, but am already signed up for all options.  None of which sound like they applied to the 'missing' emails."
neutral,"@united We were told by United to ""carry over/carry back"" for the refund."
positive,@USAirways it's not often that an airline is so easy to work with. I needed to change my flight time and the attendants at MKE made my day!
negative,@AmericanAir thanks for finally letting me get through to book my flight. Frustration  set in... #donedeal #talktoahuman
neutral,@united You must follow me in order for me to send you a direct message if that is what you meant.
negative,@united when will you offer real food in american clubs like the amazing food you offer in Heathrow?
negative,"@AmericanAir I understand. I'm feeling cranky. I called AA's bag tracker number and heard ""your bag has not been located."" 😩"
negative,@USAirways a $100 @Samsonite - totaled. Not happy. Not at all.
positive,@USAirways Thank you. I'll do that next time!
negative,@united plus you horrible seating and poor customer service everywhere I've flown. now you take away the mileage program..horrible
positive,@united she's the type of person that can make a customers day! I fly 100+ times a year &amp; she's one of the top flight attendants I've had!
negative,@AmericanAir delayed flight six hours. Missed international connection= extra night in a hotel and still have to pay for a 15lb surfboardbag
negative,@united the nightmare continues... http://t.co/TsvgbrL15f
neutral,"@JetBlue 1st flight of the morning, flying with a toddler. Will the plane be heated to a comfortable temp before boarding starts. #ItsCold"
negative,"@SouthwestAir coming up on 2hrs on, still haven't spoken to a rep"
negative,@USAirways this is how concerned your gate attendants at C26 are this afternoon. #nocommunication #nocrew http://t.co/hFjYN2vtVj
neutral,@SouthwestAir I'm not sure I did the messaging part right. Please let me know if you received it.
negative,@USAirways the disappointment was not the bag but that it arrived before me and I was kept 12 hrs without options in IAH
negative,"@USAirways flights keep getting delayed and Cancelled Flighted with no information, worst customer service ever."
negative,"@USAIRWAYS ARE YOU KIDDING ME?? Bad customer service, folks. Flew from PSP to PHX flight 2692 on 2/19. (cont) http://t.co/KigfKVXxDQ"
negative,@AmericanAir its not weather thats why i said the other people received hotel rooms while the people at the end of the line did not get them
negative,"@USAirways OK, I guess the weather has been rough but I have been trying to sort out missing air-miles for days. Any suggestions?"
neutral,@AmericanAir I know. Just a little cold weather humor. :)
negative,@SouthwestAir I am absolutely sick of 300s and no wifi!
neutral,"@SouthwestAir I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn"
negative,@AmericanAir AA 1657 was also over an hour Late Flight to depart Ohare and now we have no luggage. Not happy standing in a long line at baggage svc
negative,@united why is my flight from mke to ord getting delayed? Our gate attendant is not communicating!
neutral,@SouthwestAir could you tell me if any upgrades are available on a flight out of STL tomorrow morning.
negative,@AmericanAir it wasn't really about the delay. It was more about being told the engine needed to be troubleshot.  Makes a person paranoid.
negative,@united no. U guys suck. I'll never fly with u again. And ur supervisors suck too.
negative,"@USAirways i have and you have not been able to locate them, its insane. i trust you and PAY you to look after my things and you lost them."
neutral,@USAirways can u tell me if 5238 from clt to Jan has gotten out of the gate yet?  I will have a tight connection out of clt to mco.
positive,"alright @JetBlue.... done! alternatively, if you'd like to charter a private jet for me to PITT i will gladly accept :)"
negative,@JetBlue case making jackass out me we not allowed do favor say?get right care less!me no out of vacation now true see!am!peter scott
negative,"@AmericanAir 2284, four hours Late Flightrs and we are finally flying out...too bad I missed my event"
negative,.@united Will breaking them in somehow make them longer so that they don't cut off the circulation in my legs? #unfriendlyskies
positive,@united you have the nicest gate attendant at Newark airport gate 101 right now. Multiple delays and she is still pleasant with everyone.
negative,@AmericanAir please improve business extra flight reservation process. can't book online?  what century are we in? 25 min+ on hold
positive,"@SouthwestAir I made it! Heading to Denver, and your employees really are as pleasant as I just told someone your application asks.  Thanks!"
negative,@united costumer service sucks! Waiting for a week for a response
neutral,@SouthwestAir When are you going to be flying in and out of Nashville? The Deicer is in. Are you short on planes and is it tomorrow morning?
negative,@USAirways I wish we were on our way. Now there's a problem w/de-icing.Three &amp; 1/2 hour delay so far &amp; sill not sure if we'll be taking off.
positive,@AmericanAir thank you!
negative,@AmericanAir no not yet. Waiting now to be connected to an agent
negative,"@united, fuck you and your closed premier access lines at ORD. Probably gonna miss my flight...Start treating your customers better."
negative,@USAirways this travel day sucks but Malcome K at gate 39 rocks.  This guy is the brand you want to be. Replicate his approach and style.
neutral,@united I looked on the email chain and there is not one
negative,@SouthwestAir @CBSsoxfan you get to hold? called twice only to be kicked off.calls 3-6 #phonedied #AListpreferred http://t.co/1TZZ0vbMbS
neutral,@USAirways @satesq theres only one flt PHL-CRW per day.
negative,@USAirways Can you help me update KTN on the profile?  Ticket book via AA &amp; that info didn't get pass on.  I've been on hold forever
neutral,@SouthwestAir when can we expect customer service in Dallas to be available
positive,@JetBlue #kudos! And we're done and heading to warmer weather!
positive,@SouthwestAir Yes! Just a few minutes after my tweet. She was able to reschedule her flight. Thanks!
negative,"@USAirways They provided no options. Since you all have a better sense of the weather, I hoped you could suggest."
negative,@AmericanAir they could be seen if your horrible customer service group would actually update the information! Never fly American again!
negative,@JetBlue Noooo!! Why is our previously direct flight from FLL&gt;SFO diverted to LAS? Now arriving almost 2 hrs Late Flightr. 👎
positive,"@JetBlue what are the chances of actually flying out of Charleston today?? Cold, rainy weather in the south of all places..."
negative,@AmericanAir #AmericanAirlines says most bags left in Miami have been returned following mechanical glitch &gt;&gt; http://t.co/Ib8kyjBCJM
negative,@SouthwestAir needs 2 make me whole Used my tkt back n PHX due 2 rude SNA agent Jacquie Plitt flew @USAirways 2 CABO http://t.co/QxWW1p09a0
negative,@USAirways hey folks where do you hide luggage when you Cancelled Flight a flight! You have 100 very angry people with no luggage
positive,@USAirways I appreciate your prompt response.
positive,@AmericanAir I tried that. They won't book us with another airline. I wish I had flown with you! We are now stuck in FL til Weds.
negative,@JetBlue This is how you have me feeling.... http://t.co/esUu0hiAjM
negative,@VirginAmerica is the website down?
positive,@JetBlue PDX to JFK was suuuuper HOT.
negative,"@united Funny thing happened, we arrived on our flight from Denver at the same gate we are currently scheduled to depart for Sydney at! LOL!"
negative,@SouthwestAir How to I rebook on-line when it keeps telling me that it's a reserv number for a past date (this morning)? Holding for 2hrs.
